[2025-07-09 23:47:25] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-09 23:48:18] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-09 23:53:04] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-09 23:57:11] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-09 23:58:16] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:03:06] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:06:22] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:09:26] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:12:51] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:15:23] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:19:47] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:20:14] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a terminé de noter le produit '🍓 Fraise Sauvage'
[2025-07-10 00:20:56] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:25:16] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:25:49] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a terminé de noter le produit '🍓 Fraise Sauvage'
[2025-07-10 00:26:50] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:27:17] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a terminé de noter le produit '🍓 Fraise Sauvage'
[2025-07-10 00:30:38] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:30:49] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:31:10] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:31:40] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:34:33] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Used command /check (staff)
[2025-07-10 00:35:23] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Used command /debug (staff)
[2025-07-10 00:38:39] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Used command /debug (staff)
[2025-07-10 00:40:43] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Used command /check (staff)
[2025-07-10 00:41:41] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:41:57] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Used command /promo
[2025-07-10 00:42:52] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Used command /promo
[2025-07-10 00:43:18] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Used command /promo
[2025-07-10 00:44:18] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:44:58] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 00:48:30] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
